, Time(), Date, Local Time, Latitude(deg), Longitude(deg), Altitude(m), Heading(deg), Pitch(deg), Roll(deg),TimestampGPS,TimestampHDF,x,y,z,heading,pitch,roll
0,2079250000,2023-07-07,10:34:39.250,41.22070849,1.73106458,59.9,340.43199999999996,-0.08199999999999999,-0.237,1688726079250000.0,1688726078252038,0.0,0.0,0.0,340.43199999999996,-0.08199999999999999,-0.237
1,2079260000,2023-07-07,10:34:39.260,41.22070852,1.73106456,59.9,340.421,-0.079,-0.235,1688726079259999.0,1688726078262051,-0.0016278482507914305,0.0033549917861819267,0.0,340.421,-0.079,-0.235
2,2079270000,2023-07-07,10:34:39.270,41.22070856,1.73106455,59.9,340.411,-0.078,-0.228,1688726079270000.0,1688726078272053,-0.002401260833721608,0.0078079234808683395,0.0,340.411,-0.078,-0.228
3,2079280000,2023-07-07,10:34:39.280,41.22070859,1.73106454,59.9,340.402,-0.077,-0.22399999999999998,1688726079280000.0,1688726078282245,-0.0031908779055811465,0.011150679551064968,0.0,340.402,-0.077,-0.22399999999999998
4,2079290000,2023-07-07,10:34:39.290,41.22070862,1.73106452,59.9,340.394,-0.075,-0.221,1688726079289999.0,1688726078292355,-0.004818726098164916,0.01450567226856947,0.0,340.394,-0.075,-0.221
5,2079300000,2023-07-07,10:34:39.300,41.22070866,1.73106451,59.898999999999994,340.384,-0.076,-0.214,1688726079299999.0,1688726078302193,-0.0055921386810950935,0.018958603031933308,-0.0010000000000047748,340.384,-0.076,-0.214
6,2079310000,2023-07-07,10:34:39.310,41.22070869,1.73106449,59.898999999999994,340.37199999999996,-0.07200000000000001,-0.21100000000000002,1688726079310000.0,1688726078312200,-0.007219986931886524,0.02231359574943781,-0.0010000000000047748,340.37199999999996,-0.07200000000000001,-0.21100000000000002
7,2079320000,2023-07-07,10:34:39.320,41.22070872,1.73106448,59.898999999999994,340.36199999999997,-0.068,-0.205,1688726079320000.0,1688726078322220,-0.008009604120161384,0.025656351819634438,-0.0010000000000047748,340.36199999999997,-0.068,-0.205
8,2079330000,2023-07-07,10:34:39.330,41.22070876,1.73106446,59.898999999999994,340.352,-0.067,-0.198,1688726079329999.0,1688726078332188,-0.009621247707400471,0.030121517367661,-0.0010000000000047748,340.352,-0.067,-0.198
9,2079340000,2023-07-07,10:34:39.340,41.2207088,1.73106444,59.898999999999994,340.341,-0.065,-0.19699999999999998,1688726079340000.0,1688726078342151,-0.011232891294639558,0.034586683847010136,-0.0010000000000047748,340.341,-0.065,-0.19699999999999998
10,2079350000,2023-07-07,10:34:39.350,41.22070883,1.73106443,59.898999999999994,340.33,-0.061,-0.192,1688726079350000.0,1688726078352216,-0.012022508424706757,0.03792944084852934,-0.0010000000000047748,340.33,-0.061,-0.192
11,2079360000,2023-07-07,10:34:39.360,41.22070887,1.73106441,59.898,340.32099999999997,-0.059000000000000004,-0.188,1688726079359999.0,1688726078362103,-0.013634152011945844,0.04239460825920105,-0.001999999999995339,340.32099999999997,-0.059000000000000004,-0.188
12,2079370000,2023-07-07,10:34:39.370,41.2207089,1.7310644,59.898,340.309,-0.054000000000000006,-0.187,1688726079369999.0,1688726078372047,-0.014423769142013043,0.04573736432939768,-0.001999999999995339,340.309,-0.054000000000000006,-0.187
13,2079380000,2023-07-07,10:34:39.380,41.22070894,1.73106438,59.898,340.295,-0.052000000000000005,-0.18,1688726079380000.0,1688726078382018,-0.01603541272925213,0.05020252987742424,-0.001999999999995339,340.295,-0.052000000000000005,-0.18
14,2079390000,2023-07-07,10:34:39.390,41.22070898,1.73106436,59.898,340.282,-0.05,-0.179,1688726079390000.0,1688726078392300,-0.017647056374698877,0.054667696356773376,-0.001999999999995339,340.282,-0.05,-0.179
15,2079400000,2023-07-07,10:34:39.400,41.22070902,1.73106435,59.898,340.26800000000003,-0.045,-0.179,1688726079399999.0,1688726078402054,-0.018420468841213733,0.05912062618881464,-0.001999999999995339,340.26800000000003,-0.045,-0.179
16,2079410000,2023-07-07,10:34:39.410,41.22070905,1.73106433,59.897,340.25199999999995,-0.043,-0.17300000000000001,1688726079409999.0,1688726078412163,-0.020048317092005163,0.062475619837641716,-0.0030000000000001137,340.25199999999995,-0.043,-0.17300000000000001
17,2079420000,2023-07-07,10:34:39.420,41.22070909,1.73106431,59.897,340.23800000000006,-0.04,-0.174,1688726079420000.0,1688726078422054,-0.02165996062103659,0.06694078538566828,-0.0030000000000001137,340.23800000000006,-0.04,-0.174
18,2079430000,2023-07-07,10:34:39.430,41.22070913,1.7310643,59.897,340.221,-0.039,-0.172,1688726079429999.0,1688726078432068,-0.022433373145759106,0.07139371614903212,-0.0030000000000001137,340.221,-0.039,-0.172
19,2079440000,2023-07-07,10:34:39.440,41.22070917,1.73106428,59.897,340.20300000000003,-0.039,-0.17,1688726079439999.0,1688726078441985,-0.02404501667479053,0.07585888262838125,-0.0030000000000001137,340.20300000000003,-0.039,-0.17
20,2079450000,2023-07-07,10:34:39.450,41.22070921,1.73106426,59.897,340.186,-0.036000000000000004,-0.17,1688726079450000.0,1688726078452043,-0.02565666032023728,0.08032404817640781,-0.0030000000000001137,340.186,-0.036000000000000004,-0.17
21,2079460000,2023-07-07,10:34:39.460,41.22070925,1.73106425,59.897,340.165,-0.036000000000000004,-0.166,1688726079460000.0,1688726078462058,-0.026430072844959795,0.08477697893977165,-0.0030000000000001137,340.165,-0.036000000000000004,-0.166
22,2079470000,2023-07-07,10:34:39.470,41.22070929,1.73106423,59.897,340.144,-0.032,-0.16699999999999998,1688726079469999.0,1688726078472146,-0.02804171637399122,0.08924214541912079,-0.0030000000000001137,340.144,-0.032,-0.16699999999999998
23,2079480000,2023-07-07,10:34:39.480,41.22070933,1.73106421,59.896,340.125,-0.03,-0.168,1688726079479999.0,1688726078482037,-0.029653359961230308,0.09370731096714735,-0.003999999999997783,340.125,-0.03,-0.168
24,2079490000,2023-07-07,10:34:39.490,41.22070937,1.73106419,59.896,340.105,-0.027000000000000003,-0.16399999999999998,1688726079490000.0,1688726078492040,-0.031265003548469394,0.09817247837781906,-0.003999999999997783,340.105,-0.027000000000000003,-0.16399999999999998
25,2079500000,2023-07-07,10:34:39.500,41.22070941,1.73106418,59.896,340.084,-0.025,-0.162,1688726079500000.0,1688726078502160,-0.03203841595677659,0.10262540727853775,-0.003999999999997783,340.084,-0.025,-0.162
26,2079510000,2023-07-07,10:34:39.510,41.22070946,1.73106416,59.896,340.06199999999995,-0.025,-0.157,1688726079509999.0,1688726078512026,-0.03363385488046333,0.1082007484510541,-0.003999999999997783,340.06199999999995,-0.025,-0.157
27,2079520000,2023-07-07,10:34:39.520,41.2207095,1.73106414,59.896,340.038,-0.022000000000000002,-0.155,1688726079520000.0,1688726078521905,-0.03524549846770242,0.11266591493040323,-0.003999999999997783,340.038,-0.022000000000000002,-0.155
28,2079530000,2023-07-07,10:34:39.530,41.22070954,1.73106412,59.896,340.015,-0.02,-0.153,1688726079530000.0,1688726078532130,-0.036857141996733844,0.1171310804784298,-0.003999999999997783,340.015,-0.02,-0.153
29,2079540000,2023-07-07,10:34:39.540,41.22070959,1.73106411,59.896,339.994,-0.019,-0.147,1688726079539999.0,1688726078542154,-0.03761434991611168,0.12269418407231569,-0.003999999999997783,339.994,-0.019,-0.147
30,2079550000,2023-07-07,10:34:39.550,41.22070963,1.73106409,59.896,339.973,-0.016,-0.145,1688726079549999.0,1688726078552194,-0.03922599338693544,0.12715935055166483,-0.003999999999997783,339.973,-0.016,-0.145
31,2079560000,2023-07-07,10:34:39.560,41.22070967,1.73106407,59.896,339.95,-0.013999999999999999,-0.139,1688726079560000.0,1688726078562231,-0.04083763697417453,0.13162451796233654,-0.003999999999997783,339.95,-0.013999999999999999,-0.139
32,2079570000,2023-07-07,10:34:39.570,41.22070972,1.73106405,59.896,339.92800000000005,-0.013000000000000001,-0.135,1688726079570000.0,1688726078572166,-0.04243307589786127,0.13719985727220774,-0.003999999999997783,339.92800000000005,-0.013000000000000001,-0.135
33,2079580000,2023-07-07,10:34:39.580,41.22070976,1.73106403,59.896,339.905,-0.01,-0.131,1688726079579999.0,1688726078582146,-0.0440447194268927,0.14166502375155687,-0.003999999999997783,339.905,-0.01,-0.131
34,2079590000,2023-07-07,10:34:39.590,41.22070981,1.73106401,59.896,339.88199999999995,-0.01,-0.126,1688726079590000.0,1688726078592340,-0.04564015829237178,0.14724036306142807,-0.003999999999997783,339.88199999999995,-0.01,-0.126
35,2079600000,2023-07-07,10:34:39.600,41.22070986,1.73106399,59.896,339.86199999999997,-0.009000000000000001,-0.124,1688726079600000.0,1688726078602145,-0.04723559721605852,0.15281570330262184,-0.003999999999997783,339.86199999999997,-0.009000000000000001,-0.124
36,2079610000,2023-07-07,10:34:39.610,41.2207099,1.73106397,59.896,339.84,-0.006999999999999999,-0.12300000000000001,1688726079609999.0,1688726078612097,-0.04884724074508995,0.15728086978197098,-0.003999999999997783,339.84,-0.006999999999999999,-0.12300000000000001
37,2079620000,2023-07-07,10:34:39.620,41.22070994,1.73106395,59.895,339.816,-0.006,-0.11900000000000001,1688726079619999.0,1688726078622174,-0.050458884274121374,0.16174603532999754,-0.0049999999999954525,339.816,-0.006,-0.11900000000000001
38,2079630000,2023-07-07,10:34:39.630,41.22071,1.73106393,59.895,339.796,-0.001,-0.12,1688726079630000.0,1688726078632335,-0.052038118592463434,0.16843154840171337,-0.0049999999999954525,339.796,-0.001,-0.12
39,2079640000,2023-07-07,10:34:39.640,41.22071004,1.7310639,59.895,339.774,0.001,-0.122,1688726079640000.0,1688726078642086,-0.05448799312580377,0.1729089505970478,-0.0049999999999954525,339.774,0.001,-0.122
40,2079650000,2023-07-07,10:34:39.650,41.22071009,1.73106388,59.895,339.751,0.002,-0.121,1688726079649999.0,1688726078652229,-0.05608343204949051,0.178484289906919,-0.0049999999999954525,339.751,0.002,-0.121
41,2079660000,2023-07-07,10:34:39.660,41.22071014,1.73106386,59.895,339.72900000000004,0.003,-0.121,1688726079659999.0,1688726078662051,-0.05767887091496959,0.18405963201075792,-0.0049999999999954525,339.72900000000004,0.003,-0.121
42,2079670000,2023-07-07,10:34:39.670,41.22071019,1.73106383,59.895,339.70599999999996,0.006,-0.121,1688726079670000.0,1688726078672045,-0.060112540784757584,0.18964720610529184,-0.0049999999999954525,339.70599999999996,0.006,-0.121
43,2079680000,2023-07-07,10:34:39.680,41.22071023,1.73106381,59.895,339.68199999999996,0.008,-0.122,1688726079679999.0,1688726078682013,-0.06172418431378901,0.1941123716533184,-0.0049999999999954525,339.68199999999996,0.008,-0.122
44,2079690000,2023-07-07,10:34:39.690,41.22071029,1.73106379,59.895,339.658,0.006999999999999999,-0.125,1688726079689999.0,1688726078692030,-0.06330341851571575,0.2007978856563568,-0.0049999999999954525,339.658,0.006999999999999999,-0.125
45,2079700000,2023-07-07,10:34:39.700,41.22071034,1.73106376,59.895,339.63199999999995,0.009000000000000001,-0.122,1688726079700000.0,1688726078702103,-0.06573708850191906,0.2063854606822133,-0.0049999999999954525,339.63199999999995,0.009000000000000001,-0.122
46,2079710000,2023-07-07,10:34:39.710,41.22071038,1.73106374,59.895,339.608,0.011000000000000001,-0.121,1688726079710000.0,1688726078712174,-0.06734873197274283,0.21085062716156244,-0.0049999999999954525,339.608,0.011000000000000001,-0.121
47,2078720000,2023-07-07,10:34:38.720,41.22071044,1.73106371,59.895,339.58099999999996,0.013000000000000001,-0.121,1688726078719999.0,1688726078722110,-0.0697661972953938,0.21754837688058615,-0.0049999999999954525,339.58099999999996,0.013000000000000001,-0.121
48,2078730000,2023-07-07,10:34:38.730,41.22071049,1.73106369,59.895,339.55,0.017,-0.121,1688726078729999.0,1688726078732059,-0.07136163610266522,0.22312371712177992,-0.0049999999999954525,339.55,0.017,-0.121
49,2078740000,2023-07-07,10:34:38.740,41.22071054,1.73106367,59.895,339.51800000000003,0.02,-0.122,1688726078740000.0,1688726078742023,-0.0729570749681443,0.22869905643165112,-0.0049999999999954525,339.51800000000003,0.02,-0.122
50,2078750000,2023-07-07,10:34:38.750,41.2207106,1.73106364,59.894,339.48699999999997,0.023,-0.11900000000000001,1688726078750000.0,1688726078752041,-0.0753745402325876,0.23539680521935225,-0.006000000000000227,339.48699999999997,0.023,-0.11900000000000001
51,2078760000,2023-07-07,10:34:38.760,41.22071065,1.73106362,59.894,339.454,0.027000000000000003,-0.12,1688726078759999.0,1688726078762145,-0.07696997903985903,0.24097214546054602,-0.006000000000000227,339.454,0.027000000000000003,-0.12
52,2078770000,2023-07-07,10:34:38.770,41.2207107,1.73106359,59.894,339.41900000000004,0.033,-0.12,1688726078770000.0,1688726078772266,-0.07940364896785468,0.2465597204864025,-0.006000000000000227,339.41900000000004,0.033,-0.12
53,2078780000,2023-07-07,10:34:38.780,41.22071076,1.73106357,59.895,339.38,0.038,-0.12,1688726078780000.0,1688726078782283,-0.08098288316978142,0.2532452344894409,-0.0049999999999954525,339.38,0.038,-0.12
54,2078790000,2023-07-07,10:34:38.790,41.22071081,1.73106354,59.894,339.339,0.045,-0.11800000000000001,1688726078789999.0,1688726078792161,-0.08341655303956941,0.2588328095152974,-0.006000000000000227,339.339,0.045,-0.11800000000000001
55,2078800000,2023-07-07,10:34:38.800,41.22071087,1.73106352,59.894,339.29699999999997,0.052000000000000005,-0.11900000000000001,1688726078799999.0,1688726078801988,-0.08499578724149615,0.26551832258701324,-0.006000000000000227,339.29699999999997,0.052000000000000005,-0.11900000000000001
56,2078810000,2023-07-07,10:34:38.810,41.22071093,1.73106349,59.894,339.25699999999995,0.057999999999999996,-0.12,1688726078810000.0,1688726078812208,-0.08741325250593945,0.2722160732373595,-0.006000000000000227,339.25699999999995,0.057999999999999996,-0.12
57,2078820000,2023-07-07,10:34:38.820,41.22071099,1.73106347,59.894,339.218,0.068,-0.11699999999999999,1688726078820000.0,1688726078822237,-0.08899248664965853,0.27890158630907536,-0.006000000000000227,339.218,0.068,-0.11699999999999999
58,2078830000,2023-07-07,10:34:38.830,41.22071104,1.73106344,59.894,339.17699999999996,0.076,-0.115,1688726078829999.0,1688726078832222,-0.09142615651944652,0.28448916133493185,-0.006000000000000227,339.17699999999996,0.076,-0.115
59,2078840000,2023-07-07,10:34:38.840,41.22071111,1.73106342,59.894,339.13599999999997,0.086,-0.114,1688726078840000.0,1688726078842248,-0.09298918605782092,0.29228485096246004,-0.006000000000000227,339.13599999999997,0.086,-0.114
60,2078850000,2023-07-07,10:34:38.850,41.22071117,1.73106339,59.894,339.094,0.094,-0.109,1688726078850000.0,1688726078852166,-0.09540665126405656,0.2989825988188386,-0.006000000000000227,339.094,0.094,-0.109
61,2078860000,2023-07-07,10:34:38.860,41.22071122,1.73106336,59.893,339.05199999999996,0.102,-0.099,1688726078859999.0,1688726078862047,-0.09784032119205222,0.3045701729133725,-0.006999999999997897,339.05199999999996,0.102,-0.099
62,2078870000,2023-07-07,10:34:38.870,41.22071129,1.73106333,59.893,339.014,0.113,-0.092,1688726078869999.0,1688726078872261,-0.10024158167652786,0.31237809639424086,-0.006999999999997897,339.014,0.113,-0.092
